FILENUMBER,LATITUDE,LONGITUDE,FCYEAR,GLOBALID
024792003,39.78507282,-105.03423738,2003,{00000000-0000-0000-0000-000000000000}
024802003,39.63332885,-105.03577799,2003,{00000000-0000-0000-0000-000000000000}
024812003,39.69210587,-105.03160035,2003,{00000000-0000-0000-0000-000000000000}
024832003,39.68923521,-105.02998217,2003,{00000000-0000-0000-0000-000000000000}
024852003,39.65042393,-105.05531713,2003,{00000000-0000-0000-0000-000000000000}
024862003,39.69801184,-105.0417258,2003,{00000000-0000-0000-0000-000000000000}
024872003,39.79183467,-104.94135882,2003,{00000000-0000-0000-0000-000000000000}
024882003,39.70690582,-105.00336622,2003,{00000000-0000-0000-0000-000000000000}
024902003,39.71771959,-105.01713689,2003,{00000000-0000-0000-0000-000000000000}
024922003,39.75449398,-105.02125741,2003,{00000000-0000-0000-0000-000000000000}
024932003,39.70902224,-104.90567224,2003,{00000000-0000-0000-0000-000000000000}
024942003,39.66747034,-105.07278911,2003,{00000000-0000-0000-0000-000000000000}
024962003,39.66969921,-105.02914711,2003,{00000000-0000-0000-0000-000000000000}
024972003,39.77414267,-104.76488349,2003,{00000000-0000-0000-0000-000000000000}
013912003,39.79705753,-104.81472251,2003,{00000000-0000-0000-0000-000000000000}
014042003,39.78549229,-105.06009468,2003,{00000000-0000-0000-0000-000000000000}
014162003,39.70311509,-105.04331996,2003,{00000000-0000-0000-0000-000000000000}
014742003,39.7810541,-105.04071975,2003,{00000000-0000-0000-0000-000000000000}
014952003,39.775616,-104.74164591,2003,{00000000-0000-0000-0000-000000000000}
014822003,39.69660333,-105.04637846,2003,{00000000-0000-0000-0000-000000000000}
015052003,39.76507171,-104.90729305,2003,{00000000-0000-0000-0000-000000000000}
015282003,39.68640912,-105.01319585,2003,{00000000-0000-0000-0000-000000000000}
015492003,39.77110541,-105.01041689,2003,{00000000-0000-0000-0000-000000000000}
015562003,39.7899265,-104.81953285,2003,{00000000-0000-0000-0000-000000000000}
015672003,39.66988962,-104.98668735,2003,{00000000-0000-0000-0000-000000000000}
015992003,39.66253349,-104.89604724,2003,{00000000-0000-0000-0000-000000000000}
016112003,39.69226375,-104.98660558,2003,{00000000-0000-0000-0000-000000000000}
016202003,39.75468937,-104.94365208,2003,{00000000-0000-0000-0000-000000000000}
016422003,39.67771979,-104.96908138,2003,{00000000-0000-0000-0000-000000000000}
016642003,39.73710209,-104.90030145,2003,{00000000-0000-0000-0000-000000000000}
017292003,39.77433767,-104.81663845,2003,{00000000-0000-0000-0000-000000000000}
017412003,39.755624,-104.97820867,2003,{00000000-0000-0000-0000-000000000000}
017542003,39.70617348,-104.86924472,2003,{00000000-0000-0000-0000-000000000000}
025012003,39.67476958,-104.98669776,2003,{00000000-0000-0000-0000-000000000000}
025342003,39.78798645,-105.04127768,2003,{00000000-0000-0000-0000-000000000000}
025452003,39.7311688,-104.91691978,2003,{00000000-0000-0000-0000-000000000000}
025572003,39.73636887,-104.95661238,2003,{00000000-0000-0000-0000-000000000000}
026052003,39.77857394,-104.81698454,2003,{00000000-0000-0000-0000-000000000000}
026072003,39.68923521,-105.02998217,2003,{00000000-0000-0000-0000-000000000000}
026082003,39.77317032,-105.0138296,2003,{00000000-0000-0000-0000-000000000000}
025992003,39.70239436,-105.04209815,2003,{00000000-0000-0000-0000-000000000000}
026012003,39.77846321,-104.82370459,2003,{00000000-0000-0000-0000-000000000000}
026022003,39.66717215,-104.92147547,2003,{00000000-0000-0000-0000-000000000000}
026032003,39.77563754,-104.75266247,2003,{00000000-0000-0000-0000-000000000000}
026042003,39.79747166,-104.83901012,2003,{00000000-0000-0000-0000-000000000000}
026092003,39.72867434,-105.00109549,2003,{00000000-0000-0000-0000-000000000000}
